IP1,IP2,RTT(ms),Mediciones,(x_i-media(x))/s
192.168.2.105,192.168.2.1,2.48,30,-0.06
192.168.2.1,192.168.0.1,0.42,900,-0.14
200.89.161.145,200.89.165.150,-2.63,900,-0.25
200.89.165.150,200.89.165.149,0.48,900,-0.14
200.89.165.149,200.89.165.5,10.55,900,0.23
200.89.165.5,200.89.165.250,-19.96,900,-0.87
213.248.84.80,62.115.120.176,115.43,1320,3.98
62.115.120.176,62.115.122.60,0.41,1672,-0.14
62.115.122.60,213.155.132.197,-14.32,1140,-0.66
213.155.132.197,62.115.148.161,-2.61,900,-0.25
62.115.148.161,146.97.35.193,15.43,900,0.40
146.97.35.193,146.97.33.62,-17.56,900,-0.78
146.97.33.62,146.97.38.18,3.69,900,-0.02
146.97.38.18,146.97.65.117,0.97,900,-0.12
146.97.65.117,146.97.130.2,3.69,900,-0.02
146.97.130.2,193.60.88.6,4.78,900,0.02
193.60.88.6,193.60.88.6,6.30,900,0.07
