IP1,IP2,RTT(ms),Mediciones,(x_i-media(X))/S
192.168.0.14,192.168.0.1,5.67,30,-0.21
200.89.161.137,200.89.165.150,2.29,900,-0.26
200.89.165.150,200.89.165.149,-1.35,900,-0.31
200.89.165.149,200.89.165.5,-4.05,900,-0.35
200.89.165.5,200.89.165.250,7.10,900,-0.19
200.89.165.250,185.70.203.32,-3.05,900,-0.34
185.70.203.32,89.221.41.181,215.21,900,2.77
89.221.41.181,154.54.9.17,7.67,900,-0.19
154.54.9.17,154.54.47.29,2.04,900,-0.27
154.54.47.29,154.54.28.49,-1.52,900,-0.32
154.54.28.49,154.54.24.221,282.98,900,3.74
154.54.24.221,154.54.40.109,2.89,1320,-0.25
154.54.40.109,154.54.41.61,6.94,1320,-0.20
154.54.41.61,154.54.43.21,1.37,900,-0.28
154.54.43.21,154.54.44.165,-9.39,900,-0.43
154.54.44.165,154.54.58.70,28.21,900,0.11
154.54.58.70,154.54.38.210,-28.90,900,-0.71
154.54.38.210,154.54.72.106,-1.47,900,-0.32
154.54.72.106,154.54.62.254,8.77,900,-0.17
154.54.62.254,149.6.58.42,-2.48,900,-0.33
149.6.58.42,185.141.124.144,10.68,900,-0.14
185.141.124.144,194.190.254.118,-15.88,900,-0.52
194.190.254.118,93.180.0.174,-3.73,900,-0.35
93.180.0.174,188.44.33.30,-40.20,1020,-0.87
188.44.33.30,188.44.33.2,61.27,1020,0.58
188.44.33.2,188.44.50.103,7.86,900,-0.18
